tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
3136,   3653 , 1460 ,  31   , 2065, 6.36   , 3533
68,   3652 , 1460 ,  31   , 2065, 6.36   , 3534
3137,   3652 , 1463 ,  31   , 2065, 6.36   , 3537
69,   3652 , 1464 ,  31   , 2065, 6.36   , 3537
3138,   3652 , 1464 ,  31   , 2065, 6.36   , 3537
70,   3652 , 1464 ,  31   , 2065, 6.36   , 3537
3139,   3653 , 1464 ,  31   , 2065, 6.36   , 3536
71,   3654 , 1462 ,  31   , 2065, 6.36   , 3536
3140,   3656 , 1432 ,  31   , 2065, 6.36   , 3506
72,   3655 , 1424 ,  31   , 2065, 6.36   , 3497
3141,   3656 , 1423 ,  31   , 2065, 6.36   , 3496
73,   3655 , 1424 ,  31   , 2065, 6.36   , 3498
3142,   3656 , 1456 ,  31   , 2065, 6.36   , 3530
74,   3655 , 1456 ,  31   , 2065, 6.36   , 3531
3143,   3657 , 1445 ,  31   , 2065, 6.36   , 3521
75,   3656 , 1446 ,  31   , 2065, 6.36   , 3520
3144,   3657 , 1442 ,  31   , 2065, 6.35   , 3517
76,   3656 , 1437 ,  31   , 2065, 6.35   , 3511
3145,   3656 , 1436 ,  31   , 2065, 6.35   , 3511
77,   3657 , 1436 ,  31   , 2065, 6.35   , 3511
3146,   3657 , 1436 ,  31   , 2065, 6.35   , 3511
78,   3658 , 1433 ,  31   , 2065, 6.35   , 3508
3147,   3657 , 1434 ,  31   , 2065, 6.35   , 3510
79,   3658 , 1441 ,  31   , 2065, 6.35   , 3516
3149,   3657 , 1436 ,  31   , 2065, 6.35   , 3514
80,   3659 , 1435 ,  31   , 2065, 6.35   , 3511
3150,   3657 , 1435 ,  31   , 2065, 6.35   , 3509
81,   3656 , 1436 ,  31   , 2065, 6.35   , 3512
3151,   3656 , 1437 ,  31   , 2065, 6.35   , 3514
83,   3655 , 1441 ,  31   , 2065, 6.35   , 3518
3152,   3656 , 1441 ,  31   , 2065, 6.35   , 3518
84,   3657 , 1444 ,  31   , 2065, 6.35   , 3520
3153,   3657 , 1444 ,  31   , 2065, 6.35   , 3521
85,   3660 , 1418 ,  31   , 2065, 6.35   , 3493
3154,   3659 , 1419 ,  31   , 2065, 6.35   , 3497
86,   3659 , 1427 ,  31   , 2065, 6.34   , 3504
3155,   3659 , 1427 ,  31   , 2065, 6.34   , 3504
87,   3659 , 1428 ,  31   , 2065, 6.34   , 3505
